"Nome";"Entidade";"Status";"Fabricante";"Número de série";"Tipo";"Modelo";"Localização";"Sistema operacional - Nome";"Componentes - Processador";"Componentes - Memória";"Componentes - Tamanho de disco rígido";"Última atualização";"Data de criação";
"SEDERS-MS19RM4M";"RioSaudeSEDE";"Em uso";"HP";"BRJ519RM4M";"Desktop";"HP Pro SFF 400 G9";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"32 GB";"1.49 TB";"2025-12-19 09:46";"2025-07-24 23:14";
"SEDERS-MS19RM50";"RioSaudeSEDE";"Em uso";"HP";"BRJ519RM50";"Desktop";"HP Pro SFF 400 G9";"DGOVI";"Windows 11 Pro";"Processador Intel® Core™ i5-13500T";"32 GB";"1.49 TB";"2025-07-22 11:31";"2025-07-22 11:31";
"SEDERS-47M298";"RioSaudeSEDE";"Reserva";"Positivo";"5A247M298";"Desktop";"MASTER";"DGOVI";"";"";"";"";"2025-07-22 09:52";"2025-03-07 12:47";
"SEDERS-MP001387";"RioSaudeSEDE";"Defeito";"DELL";"42986272213";"Desktop";"DELL OPTIPLEX 3010";"DGOVI";"Windows 10 Pro";"3th Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz";"8 GB";"500 GB";"2024-06-23 15:54";"2023-11-22 15:04";
"SEDERS-MP008492";"RioSaudeSEDE";"Reserva";"Daten";"008492";"Desktop";"DC2D-S";"DGOVI";"Windows 10 Pro";"7th Gen Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz";"16 GB";"1024 GB";"2025-10-08 16:14";"2023-11-29 14:45";
"SEDERS-MP008685";"RioSaudeSEDE";"Reserva";"Daten";"01013031020068";"Desktop";"DC2D-S";"DGOVI";"Windows 10 Pro";"7th Gen Intel(R) Core(TM) i3-7100T CPU @ 3.40GH";"16 GB";"1024 GB";"2025-06-05 18:35";"2023-11-22 12:35";
"SEDERS-MP01WF89";"RioSaudeSEDE";"Reserva";"Lenovo";"1S10AU00JYBPPE01WF89";"Desktop";"THINKCENTRE LENOVO E73";"DGOVI";"Windows 10 Pro";"4th Gen Intel(R) Core(TM) i3-4160 3.60 GHz";"8 GB";"500 GB";"2025-05-14 16:40";"2024-04-02 17:58";
"SEDERS-MS003025";"RioSaudeSEDE";"Reserva";"Lenovo";"003025";"Desktop";"THINKCENTRE LENOVO E73";"DGOVI";"Windows 10 Pro";"4th Gen Intel(R) Core(TM) i3-4160 3.60 GHz";"8 GB";"500 GB";"2025-05-22 12:59";"2024-03-13 17:55";
"SEDERS-MS010001";"RioSaudeSEDE";"Fora de uso";"Daten";"01026426010001";"MiniPC";"DC3A-U DATEN";"DGOVI";"Windows 10 Pro";"AMD Ryzen 3 PRO 3200GE W/Radeon Vega Graphics 3.30 GHz";"8 GB";"500 GB";"2026-01-19 13:38";"2023-11-21 11:07";
"SEDERS-MS010001";"RioSaudeSEDE";"Defeito";"Daten";"01026619010001";"MiniPC";"DC3A-U DATEN";"DGOVI";"Windows 10 Pro";"AMD Ryzen 3 PRO 3200GE W/Radeon Vega Graphics 3.30 GHz";"16 GB";"500 GB";"2026-01-07 14:18";"2023-11-29 11:39";
"SEDERS-MS010002";"RioSaudeSEDE";"Reserva";"Daten";"01012624010002";"Desktop";"DC1A-S";"DGOVI";"Windows 10 Pro";"AMD Ryzen™ 3 5400U";"8 GB";"500 GB";"2025-05-14 16:55";"2023-12-13 13:19";
"SEDERS-MS010003";"RioSaudeSEDE";"Defeito";"Daten";"01026549010003";"Desktop";"DC3A-U DATEN";"DGOVI";"Windows 11 Pro";"AMD Ryzen 5 PRO 3400GE W/Radeon Vega Graphics 3.30 GHz";"16 GB";"1024 GB";"2024-06-23 15:54";"2023-11-23 18:01";
